           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             11.5             -1.5                2          100.171          291.077          -43.635         -74.3858         -48.3315         -27.6159
               12             -1.5                2          76.4096           306.26         -28.6928         -69.2593         -40.8581          -27.651
             12.5             -1.5                2           53.277           317.66         -14.9046         -63.5886         -34.0601         -27.4247
               13             -1.5                2          31.1164          325.824         -2.71239         -57.8527         -28.2356          -27.075
             13.5             -1.5                2          10.2107          331.128          7.49764         -52.3593         -23.6283         -26.6652
               14             -1.5                2         -9.13568          333.926          15.3236         -47.3315         -20.4742         -26.2085
             14.5             -1.5                2         -26.7317          334.786           20.602         -42.8407         -18.8445         -25.6667
               15             -1.5                2          -42.517          334.308          23.4339         -38.8037          -18.639         -24.9689
             15.5             -1.5                2         -56.3906          332.966          23.9444         -35.0698          -19.737         -24.0214
               16             -1.5                2         -68.1723          331.195          22.3146         -31.3998         -21.9705         -22.6935
             16.5             -1.5                2         -77.7921          329.418          18.9619          -27.505         -25.0413         -20.8771
               17             -1.5                2         -85.1828           327.95          14.3959         -23.0931         -28.6084         -18.4835
             17.5             -1.5                2         -90.2579           326.99          9.18063         -17.8963         -32.3116         -15.4475
               18             -1.5                2         -92.9231          326.639          3.88724         -11.7163         -35.8075         -11.7426
             18.5             -1.5                2         -93.1097          326.878        -0.915853         -4.44629         -38.7767         -7.38833
               19             -1.5                2         -90.7251          327.592         -4.69816          3.93014         -40.9399          -2.4372
             19.5             -1.5                2          -85.711          328.567         -7.00465          13.3081         -42.0815          3.01314
               20             -1.5                2         -78.0581          329.508         -7.50364           23.469         -42.0695          8.83208
             20.5             -1.5                2         -67.7356          330.051          -5.9395          34.1145         -40.8198          14.8723
               21             -1.5                2         -54.7839          329.773         -2.19931          44.8371         -38.3312          20.9613
             21.5             -1.5                2         -39.4313          328.306          3.58047          55.1821         -34.7326          26.9231
               22             -1.5                2         -21.8477          325.268          11.2442          64.7121         -30.1432          32.6021
             22.5             -1.5                2         -2.20562          320.209          20.5852          72.9328         -24.6928          37.8315
               23             -1.5                2          19.1731          312.716          31.2347           79.357         -18.5717          42.4514
             23.5             -1.5                2          41.8029          302.626          42.7017          83.7178         -12.0053          46.3744
               24             -1.5                2          65.2464          289.737          54.5554          85.7543         -5.16708          49.5064
             24.5             -1.5                2          88.9962          273.762          66.3267          85.1527          1.78144          51.7195
               25             -1.5                2          112.422          254.703          77.5294          81.8677          8.68379          52.9535
             25.5             -1.5                2          134.933          232.731          87.7803          76.0267          15.4271           53.189
               26             -1.5                2          155.932          207.998          96.7392          67.7485          21.9215          52.3823
             26.5             -1.5                2          174.625          180.599           103.99          57.0997          28.0637          50.4211
               27             -1.5                2          190.458          151.045          109.358          44.4984          33.7926          47.3261
             27.5             -1.5                2          202.942          119.829          112.719          30.3255          39.0444          43.1056
               28             -1.5                2            211.6          87.4667          113.962          14.9531          43.7383          37.7611
             28.5             -1.5                2          215.641          54.5674          112.837         -1.24085          47.7097          31.2286
               29             -1.5                2          215.098          21.8974          109.497         -17.7301          50.8776          23.6628
             29.5             -1.5                2          209.842         -9.84537           103.97         -34.0863          53.1044          15.1713
               30             -1.5                2          199.801         -39.9159          96.2757         -49.8724          54.2219          5.89357
             30.5             -1.5                2          184.837         -67.3526          86.3669         -64.5518          53.9714         -3.97975
               31             -1.5                2          165.641         -91.5943          74.5245         -77.7594          52.2927          -14.123
             31.5             -1.5                2          142.682         -112.013          60.9023         -89.1057          49.0707         -24.2254
               32             -1.5                2          116.503         -127.918           45.662         -98.1483          44.1878         -33.9127
             32.5             -1.5                2          87.8878         -138.657          29.0602          -104.42          37.5887         -42.7207
               33             -1.5                2          57.9061         -144.221          11.5303         -107.771          29.4606         -50.2778
             33.5             -1.5                2          27.5034         -144.486         -6.52426         -107.973          19.9768          -56.203
               34             -1.5                2         -2.25476         -139.268         -24.6058         -104.714          9.36809          -60.045
             34.5             -1.5                2         -30.2191         -128.855         -42.0818         -97.9288         -1.94522         -61.4806
               35             -1.5                2         -55.4757         -113.935         -58.3483         -87.8313         -13.4659         -60.4192
             35.5             -1.5                2           -77.17          -95.129         -72.7778         -74.6073         -24.6919         -56.7853
               36             -1.5                2         -94.2639         -73.0894          -84.546         -58.4339         -34.9982         -50.4802
             36.5             -1.5                2         -106.279         -48.9715         -93.0624         -39.9441          -43.803         -41.8085
               37             -1.5                2         -113.017         -23.8877         -97.8949         -19.8398         -50.6376         -31.1821
             37.5             -1.5                2         -114.366          1.09173         -98.6539          1.14326         -55.0793         -19.0568
             -2.5               -1                2         -126.148          23.2098          108.237         -58.9417          63.5792         -49.7436
               -2               -1                2         -136.915         -1.54494          112.418         -27.5176          70.7734         -28.5761
             -1.5               -1                2         -140.568         -27.9081          111.526          5.73187          74.8002         -6.05289
               -1               -1                2         -136.364         -54.6901           105.49          39.0482          75.4559          16.6364
             -0.5               -1                2          -124.33         -80.5176          94.7471          70.5238           72.848          38.2169
                0               -1                2         -105.233         -104.226          80.0862          98.6606           67.342          57.7021
              0.5               -1                2         -79.8039          -124.75          62.1922          122.163          59.2422          74.2598
                1               -1                2         -48.7916         -140.787          41.7359          139.529           48.805          86.9494
              1.5               -1                2         -13.8791         -151.667          19.7595          150.249          36.6178           95.475
                2               -1                2          23.3911         -156.936         -2.86742          154.139          23.1841           99.754
              2.5               -1                2          61.5271         -156.237         -25.3614          151.206          8.96435          99.8247
                3               -1                2          98.8029         -148.883         -46.8409          141.267         -5.56175          95.6154
              3.5               -1                2          133.731         -135.548         -66.6942          125.653         -19.8883           87.969
                4               -1                2          165.059         -116.552         -84.3957          105.291         -33.6127          77.4644
              4.5               -1                2          191.582          -92.278         -99.4467          81.2232         -46.3341          64.7341
                5               -1                2          212.118         -63.2845         -111.358          54.7403         -57.6245          50.5335
              5.5               -1                2          226.461         -30.7236         -120.108          27.3515         -67.2811          35.7279
                6               -1                2          234.336          4.52624         -125.591          0.27524         -75.0861            20.99
              6.5               -1                2           235.42          41.5646         -127.638         -25.2387         -80.7763          6.98264
                7               -1                2          229.994          79.2867         -126.343         -48.0831          -84.247          -5.7273
              7.5               -1                2          218.808          116.693         -122.017         -67.5953         -85.5708         -16.8193
                8               -1                2          202.471          152.916         -114.892         -83.2607         -84.7957         -26.0638
              8.5               -1                2          181.475          186.965         -105.118         -94.4972         -81.9153         -33.2177
                9               -1                2          156.953          218.174         -93.2282         -101.481         -77.2458         -38.4078
              9.5               -1                2          129.845          246.058         -79.6957         -104.516         -71.0945         -41.8155
               10               -1                2          100.982           270.21         -64.9798         -103.981         -63.7764         -43.6508
             10.5               -1                2          71.1613          290.004         -49.5731         -100.203         -55.6256         -44.0993
               11               -1                2          41.2443          305.704         -34.1003         -94.1492         -47.1434         -43.6035
             11.5               -1                2          11.8407          317.377         -19.0725         -86.4899         -38.7277         -42.4579
               12               -1                2         -16.4992          325.127         -5.01961          -77.881         -30.7862         -40.9324
             12.5               -1                2         -43.2561          329.168           7.4801         -68.9978         -23.7571         -39.2806
               13               -1                2         -68.2153          330.189          18.1062         -60.3953         -17.9019         -37.6892
             13.5               -1                2         -91.1774          328.685          26.5523         -52.4469         -13.4457         -36.2594
               14               -1                2          -111.91          325.138          32.4819         -45.4445         -10.6149         -35.0405
             14.5               -1                2         -130.348          320.213          35.7915         -39.4819         -9.46278         -34.0008
               15               -1                2         -146.567          314.558          36.6212         -34.4504         -9.86988         -33.0487
             15.5               -1                2         -160.571          308.702          35.1154         -30.1744         -11.7048         -32.0686
               16               -1                2         -172.273          303.156          31.4616         -26.3837         -14.7946         -30.9019
             16.5               -1                2         -181.699          298.372          26.0709          -22.717         -18.8307         -29.3932
               17               -1                2         -188.856          294.684          19.4397         -18.7965         -23.4624         -27.4006
             17.5               -1                2         -193.708          292.311           12.115         -14.2597         -28.3205          -24.804
               18               -1                2         -196.191          291.365            4.652         -8.81185         -33.0529         -21.5237
             18.5               -1                2         -196.241           291.83         -2.39165         -2.24884         -37.3301          -17.529
               19               -1                2         -193.748          293.594         -8.48831          5.54035         -40.8623         -12.8269
             19.5               -1                2         -188.615          296.434         -13.1748           14.537         -43.4217         -7.47527
               20               -1                2         -180.775          300.036         -16.0975          24.5928         -44.8622          -1.5761
             20.5               -1                2          -170.12          304.022         -16.9665          35.4714         -45.0843          4.74918
               21               -1                2         -156.599          307.936         -15.6193          46.8102          -44.068          11.3432
