           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             23.5             27.5                2          324.035          -71.975         -105.781         -75.0457          152.607         -237.239
               24             27.5                2          296.419         -108.551         -114.805          -52.889          125.064         -253.118
             24.5             27.5                2          264.027         -141.002         -118.825          -27.719          91.9747          -267.29
               25             27.5                2          227.476         -168.112         -117.488         -0.93277          54.1041          -278.06
             25.5             27.5                2           187.68         -189.115          -110.91           25.983          12.6192             -284
               26             27.5                2           145.58         -203.319         -99.3117          51.5727         -31.2105         -283.743
             26.5             27.5                2          102.312          -209.78         -82.9564          74.0849         -75.7498         -275.567
               27             27.5                2           59.346         -208.735         -62.9828          92.1809         -118.949         -258.976
             27.5             27.5                2          18.0149          -200.58         -40.5451           104.87         -158.894         -233.855
               28             27.5                2         -20.3855         -185.842         -16.8532          111.399         -193.688         -200.414
             28.5             27.5                2         -54.1627         -164.946           6.6464          110.812         -220.776         -158.862
               29             27.5                2          -82.497          -139.55          28.5259          103.722         -239.048          -111.28
             29.5             27.5                2         -104.595         -110.951          47.5903          90.6684         -247.413          -59.528
               30             27.5                2          -119.81         -80.5221          62.7495          72.4709          -245.05         -5.79019
             30.5             27.5                2         -127.412         -49.8473          72.8267          50.2373         -231.113           47.137
               31             27.5                2         -128.058         -20.4502          77.6915          25.8424         -206.962           96.529
             31.5             27.5                2         -122.179          6.41002          77.2325         0.865121         -173.669           139.92
               32             27.5                2         -110.348          29.5129          71.5276         -23.0235         -132.656          174.775
             32.5             27.5                2         -93.5363          47.7613          61.0654         -44.0404         -86.1098          198.701
               33             27.5                2         -73.3007          60.8674          47.0333         -61.0041         -36.9417          211.022
             33.5             27.5                2         -50.9501          68.6086          30.5012         -72.9619          12.2393          211.172
               34             27.5                2         -27.8749          70.8329          12.6822         -79.0384          58.5341          198.749
             34.5             27.5                2         -5.59781          67.9894         -4.96086         -79.0388          99.0451          174.777
               35             27.5                2          14.6705          60.9832         -21.1638          -73.499          131.743          141.418
             35.5             27.5                2          31.9306          50.6669           -34.85         -63.0516          154.913          100.815
               36             27.5                2          45.1378          37.9675         -44.8817         -48.4829          166.678          55.4563
             36.5             27.5                2          53.8904          24.1743         -50.7135         -31.3007          166.886          8.74622
               37             27.5                2          58.1577          10.4057         -52.2066         -12.9699          156.152         -36.2784
             37.5             27.5                2            58.07         -2.35842         -49.4267          5.13239          135.418         -76.8492
             -2.5               28                2          51.5035         -30.8233           42.607         -44.5369         -96.1442          58.2797
               -2               28                2          58.4918         -16.5131          66.0923         -26.0746         -120.853          23.3943
             -1.5               28                2          61.6806          1.33046          85.4209         -5.33276         -136.443         -13.7585
               -1               28                2          60.2003          21.6141          98.7341          16.3327         -141.031         -50.3675
             -0.5               28                2          53.6289          42.6864          104.765          37.3677         -134.052         -83.4272
                0               28                2           42.135          62.8542          103.225          56.5049         -116.417         -110.685
              0.5               28                2          25.9805          80.5094          94.0471          72.6894         -89.2851         -130.288
                1               28                2          5.51831          93.7204          77.2374          84.7748         -54.1594         -140.235
              1.5               28                2          -18.041          101.199          54.2287          92.3442         -14.1688         -140.288
                2               28                2         -43.4424          102.075          26.5686          95.2646          27.7146         -130.795
              2.5               28                2          -69.353           95.738         -4.09723           93.559          68.5787         -112.485
                3               28                2         -94.0694          81.3556         -35.8434          87.1326          104.932         -86.1589
              3.5               28                2         -116.067          59.9613         -66.5447          76.8817          134.412         -54.4508
                4               28                2          -133.96          32.3284         -94.4861          63.3821          155.074         -19.4186
              4.5               28                2         -146.353         -0.50379         -118.027           47.222          165.293          16.7397
                5               28                2         -151.826         -37.0416         -135.593          29.0504          163.905          51.5483
              5.5               28                2         -150.073         -75.2643         -146.749           9.6473          151.835          83.0216
                6               28                2         -140.738         -113.432          -151.16         -10.4443          129.953          109.554
              6.5               28                2         -123.446         -149.645         -148.588         -30.7374          99.4118          129.561
                7               28                2         -98.6054         -182.058         -139.595         -50.7731          62.5058          142.161
              7.5               28                2         -67.2407         -209.406         -125.304         -70.2176          21.9036          147.354
                8               28                2         -30.2791         -230.609         -106.753         -88.7851         -19.9924          145.238
              8.5               28                2          11.3522         -244.373         -85.0204         -106.114         -60.5372          135.835
                9               28                2          55.9838         -250.604         -61.6627         -121.973         -97.3487          120.334
              9.5               28                2          102.172         -249.444         -37.9397         -136.135         -128.674          99.8493
               10               28                2          148.581         -241.171         -14.9365         -148.345         -153.124           75.441
             10.5               28                2          193.709         -225.844          6.19847         -158.131         -169.032            48.09
               11               28                2           236.44         -204.935          24.8899         -165.452         -176.735          19.2107
             11.5               28                2          275.862         -179.408          40.7275         -170.145         -176.389         -10.2331
               12               28                2          311.159         -150.258          53.4427          -172.05         -168.382         -39.3608
             12.5               28                2          341.617         -118.633           62.939         -171.076          -153.47         -67.3193
               13               28                2           367.32         -85.8564          69.6376         -167.565         -133.322         -93.5802
             13.5               28                2          388.288         -52.9563          73.8528         -161.801         -109.208         -117.718
               14               28                2          404.529          -20.982          75.8726         -154.131          -82.366          -139.29
             14.5               28                2          416.497          9.07245          76.1299         -145.175         -54.2223         -158.073
               15               28                2          424.895          36.4996          75.0258         -135.627         -25.9558         -174.077
             15.5               28                2          430.279          60.6502          72.7874         -126.125          1.54584         -187.284
               16               28                2           433.14          80.7705          69.4976         -117.377          27.4764         -197.641
             16.5               28                2          434.115          96.3773          65.1731         -109.971           51.334         -205.334
               17               28                2          433.724          107.106          59.7139         -104.332          72.8343         -210.645
             17.5               28                2          432.335          112.664          52.9375          -100.71          91.8228         -213.928
               18               28                2          430.168          112.844          44.6351         -99.1141          108.245         -215.613
             18.5               28                2          427.281          107.607          34.6315         -99.2995          122.106         -216.226
               19               28                2          423.556          96.9708          22.8062         -100.805          133.361         -216.332
             19.5               28                2          418.722          81.1404          9.17412         -102.946          141.925         -216.534
               20               28                2          412.392          60.5193         -6.07647         -104.898          147.644         -217.395
             20.5               28                2          404.038          35.5913         -22.6152          -105.75          150.204          -219.42
               21               28                2          393.075          7.08436         -39.8831          -104.55          149.202         -222.997
             21.5               28                2          379.098          -23.974         -57.1275         -100.573           144.37         -228.227
               22               28                2          361.669         -56.6087         -73.5684         -93.2421          135.319         -235.051
             22.5               28                2          340.293         -89.7027         -88.2659         -82.0611          121.531         -243.208
               23               28                2          314.675         -121.895         -100.193         -66.9054          102.666         -252.068
             23.5               28                2          285.024         -151.959         -108.658         -48.2732          78.9439         -260.737
               24               28                2          251.532          -178.73         -113.008         -26.7507          50.5582         -268.212
             24.5               28                2           214.45         -200.831         -112.512         -3.15288           17.779         -273.165
               25               28                2          174.555         -217.261             -107          21.2136         -18.4438          -274.25
             25.5               28                2          132.818         -227.482         -96.7366           45.003         -56.8651         -270.411
               26               28                2          90.2291         -231.023         -82.0828          66.8965         -96.1536         -260.644
             26.5               28                2          48.0201         -227.213         -63.4782          85.2912         -134.584         -243.673
               27               28                2          7.52011         -216.528         -42.1205          99.0709         -170.279          -219.38
             27.5               28                2          -30.087         -199.567         -19.1933           107.44         -201.524         -187.962
               28               28                2         -63.6684          -177.05          4.08559           109.83         -226.659         -149.904
             28.5               28                2         -91.6833         -149.676          26.2348          105.504         -243.405         -105.803
               29               28                2         -113.645         -119.135          45.9823          95.2117         -251.093         -57.7144
             29.5               28                2         -129.021         -86.7841           62.253          79.6079         -249.013         -7.50459
               30               28                2         -137.429         -54.0351          74.0982          59.6058         -236.745          42.6932
             30.5               28                2         -138.437         -22.5228          80.5106          36.4133         -213.928          90.1641
               31               28                2         -132.946          6.42803          81.5872          11.8444         -182.217          132.614
             31.5               28                2         -121.588          31.6894          77.4045         -12.5629         -142.963          167.921
               32               28                2         -105.132          52.1862          68.2347         -35.1975          -97.857          193.939
             32.5               28                2         -84.7101          67.0234          54.7658         -54.3835          -49.285          208.759
               33               28                2         -61.8866          76.1936          38.3013         -69.1167       -0.0557852          212.189
             33.5               28                2         -37.9782          79.6998          20.0085         -78.5944          47.3036          204.087
               34               28                2         -14.3748          77.6205          1.19393          -82.101          90.0018          184.491
             34.5               28                2          7.50547          70.6451         -16.6664         -79.6182          125.447          154.789
               35               28                2          26.6279          59.8617         -32.3769         -71.8236          152.026          117.314
             35.5               28                2          42.1502          46.2715         -44.9339         -59.4673          168.404          74.3379
               36               28                2          53.1902          30.9578         -53.2821          -43.459          173.124          28.4886
             36.5               28                2          59.5665          15.2659         -57.0464         -25.3557          166.501         -16.9766
               37               28                2          61.4344         0.317999         -56.2533         -6.62923          149.532         -59.2498
             37.5               28                2          59.0842         -12.9217          -51.123          11.3561          123.483          -95.814
             -2.5             28.5                2          49.1062         -39.8161          34.3109         -50.4181         -85.1755           65.861
               -2             28.5                2          58.2416         -26.6245          59.3726         -35.2835         -112.134          35.2557
             -1.5             28.5                2          64.0077         -9.36043          80.9439         -17.4565         -130.855          1.59977
               -1             28.5                2          65.4302          11.0432          97.1093          1.98951          -139.31         -32.6692
             -0.5             28.5                2          61.9102           33.047          106.457           21.731         -136.655          -64.806
                0             28.5                2          53.4172          54.9844          108.504           40.608         -123.478         -92.6215
              0.5             28.5                2          40.0095          75.2619          102.998          57.6412          -100.63         -114.275
                1             28.5                2           21.777          91.9644            89.71          71.7658         -69.2373         -127.751
              1.5             28.5                2        -0.284522          103.658          69.8443           82.432         -32.1235         -132.503
                2             28.5                2         -25.0979          109.302          44.7556          89.3415          7.96762         -128.539
              2.5             28.5                2         -51.4903          108.088          15.9156          92.3274          48.3027         -116.222
                3             28.5                2         -77.9926          98.9268          -14.984          91.0783          85.6178         -95.9022
              3.5             28.5                2         -103.035           82.542         -45.8376          86.1666          117.424         -69.7574
                4             28.5                2         -125.228          59.4231         -74.9706           77.909          141.677         -39.4647
              4.5             28.5                2         -143.136          30.3011         -100.758          66.6316          156.596         -6.85768
                5             28.5                2         -155.234         -3.67739           -121.6          52.7077          160.758          25.9307
              5.5             28.5                2         -160.943         -40.6626         -136.879          36.7682           154.69          56.9726
                6             28.5                2         -159.666         -79.0909         -146.113          19.2283          138.912          84.7005
              6.5             28.5                2         -150.752         -117.264         -148.906         0.448995          114.184          107.538
                7             28.5                2         -134.261         -153.389         -145.594         -19.1334          82.3984          124.407
              7.5             28.5                2         -110.899           -186.1         -137.078         -39.1071          45.9323          134.985
                8             28.5                2         -81.2996          -214.23         -124.204         -59.1141          6.93941          139.062
              8.5             28.5                2          -46.034         -236.419         -107.839         -78.7323         -32.2258           136.32
                9             28.5                2         -6.55807         -252.272           -89.38         -97.5421         -69.2163          127.521
              9.5             28.5                2          35.8364         -261.657          -69.976         -115.151         -102.249          113.427
               10             28.5                2          79.9311         -264.582         -50.6265         -131.149         -129.862          94.7874
             10.5             28.5                2          124.419         -260.832         -32.3647         -144.912         -150.343          72.2153
               11             28.5                2          168.023         -251.543          -15.822         -156.226         -163.678          46.9939
             11.5             28.5                2          209.749         -237.428         -1.43568         -164.794         -169.777          19.9655
               12             28.5                2          248.668         -219.238          10.4859         -170.335         -168.764         -8.08015
             12.5             28.5                2          283.898         -197.878          19.7815         -172.627         -161.092         -36.3341
               13             28.5                2            315.2         -174.557          26.7358         -171.947         -148.142         -64.1083
             13.5             28.5                2          342.336         -150.199          31.5638         -168.511         -130.958         -90.8644
               14             28.5                2          365.039         -125.735          34.4632         -162.585         -110.565         -116.052
             14.5             28.5                2          383.439         -102.127          35.7632         -154.743         -88.2418          -139.25
               15             28.5                2          397.959          -80.125          35.7829         -145.681         -65.1179         -160.247
             15.5             28.5                2          408.909         -60.3967          34.6974         -136.026         -42.0618         -178.843
               16             28.5                2          416.513         -43.6833          32.5584         -126.459         -19.8822         -194.801
             16.5             28.5                2          421.212         -30.5156          29.3785         -117.596         0.835373         -208.117
               17             28.5                2          423.385          -21.301          25.0803         -109.909          19.6898         -218.894
             17.5             28.5                2          423.304         -16.3559          19.5261         -103.707          36.3961         -227.316
               18             28.5                2          421.148         -15.8974          12.5672         -99.0804          50.7692         -233.655
             18.5             28.5                2          416.999         -19.9698          4.09787          -95.888          62.6906         -238.287
               19             28.5                2          410.803         -28.5351         -5.92941         -93.7901          72.0163         -241.625
             19.5             28.5                2           402.41         -41.3686         -17.4334         -92.2429          78.5911         -244.132
               20             28.5                2          391.608           -58.05         -30.1776         -90.5746          82.2368         -246.252
             20.5             28.5                2          378.068         -78.0619         -43.7945         -88.0349          82.6564         -248.366
               21             28.5                2          361.448         -100.661         -57.7177         -83.8398          79.5166          -250.76
             21.5             28.5                2          341.614         -124.874         -71.2391         -77.3985          72.6625         -253.543
               22             28.5                2          318.376          -149.76         -83.6317         -68.2567          61.8426         -256.648
             22.5             28.5                2          291.509         -174.237         -94.0299         -56.0477           46.727         -259.811
               23             28.5                2          261.004         -197.035         -101.526          -40.739          27.1947          -262.49
             23.5             28.5                2           227.27         -217.101         -105.568         -22.8152          3.62745         -264.014
               24             28.5                2          190.688         -233.421         -105.642         -2.85334         -23.6102         -263.586
             24.5             28.5                2          151.732         -244.795         -101.186          18.3421         -54.0331         -260.123
               25             28.5                2          111.283         -250.458         -92.1875          39.5792         -86.5873         -252.636
             25.5             28.5                2          70.3197         -250.095         -79.0318          59.6691         -120.021         -240.417
               26             28.5                2          29.8395         -243.457         -62.1904          77.4455         -153.009         -222.807
             26.5             28.5                2          -8.8944         -230.149         -42.2498          91.4773         -183.822         -198.962
               27             28.5                2         -44.7316         -210.849         -20.4281           100.87         -210.804          -169.08
             27.5             28.5                2         -76.6698         -186.322          2.09572          105.018          -232.48          -133.61
               28             28.5                2         -103.768         -157.438           24.127           103.53         -247.456         -93.2512
             28.5             28.5                2         -124.686         -125.134          44.1893          95.8909         -253.781         -48.9158
               29             28.5                2         -139.259         -91.0648          61.1861          82.9498         -251.192         -2.55871
             29.5             28.5                2         -147.212         -56.5987          74.1811          65.4534         -239.344          44.0125
               30             28.5                2         -148.424         -23.1341          82.3815          44.3811         -218.185          88.7822
             30.5             28.5                2         -142.763          7.69903          84.9669          21.0089         -187.804          129.193
               31             28.5                2         -131.318          34.8132          82.2474         -2.94894         -150.064          163.407
             31.5             28.5                2         -114.893          57.2451          74.4787         -26.0273         -106.529          189.675
               32             28.5                2         -94.4145          74.0966           62.115         -46.7082         -59.0817          206.264
             32.5             28.5                2         -71.1345          84.7004          46.0235         -63.4559         -10.2217           211.76
               33             28.5                2         -46.5691          89.3234          27.5902         -75.4615          37.4201          206.418
             33.5             28.5                2          -21.999          88.1919          8.05143          -82.088          81.4637          190.485
               34             28.5                2          1.22872          81.6126         -11.2227         -82.7953          119.293          164.411
             34.5             28.5                2          21.8434          70.4934         -28.7759         -77.7444          148.671          129.884
               35             28.5                2          39.0179           56.071         -43.5086         -67.7426          168.415          89.3384
             35.5             28.5                2          52.0925          39.4663         -54.5122         -53.6461          177.582          45.1152
               36             28.5                2          60.3754          21.8905         -60.8381         -36.4763          175.149       -0.0850582
             36.5             28.5                2           63.914          4.70505         -62.2922         -17.8122          161.866         -43.2182
               37             28.5                2          63.0508         -10.9984         -59.0696         0.895607          139.068         -81.7555
             37.5             28.5                2          58.2347         -24.3005         -51.5452          18.3209          108.302         -113.473
             -2.5               29                2          44.7563         -49.0803          24.7299         -54.9976         -73.6409          72.2018
               -2               29                2          55.9479         -37.4403           50.968         -43.5107         -102.452          46.0266
             -1.5               29                2          64.3243         -21.2387          74.4272         -29.0228         -123.939          16.1225
               -1               29                2          68.8281         -1.22923          93.1681         -12.3186         -135.959         -15.4459
             -0.5               29                2          68.6942           21.189          105.664          5.52853         -137.425         -46.2089
                0               29                2          63.6887          44.4055          111.259          23.4937         -128.623         -74.0692
              0.5               29                2          53.6629          66.8724          109.529           40.702         -110.109         -97.2285
                1               29                2          38.4415          86.7333          100.038          56.2061         -82.6535         -113.695
              1.5               29                2          18.7779          102.443           83.755          69.3626         -48.7667          -122.66
                2               29                2         -4.45739          112.818          61.8337          79.7423         -10.9489         -123.832
              2.5               29                2         -30.2837          116.885          35.5584          87.0223          28.2675         -117.244
                3               29                2         -57.5075          113.341          6.37395          90.7195          65.8731         -102.842
              3.5               29                2         -84.5635          102.601         -23.6767          91.0942          99.3022         -82.3569
                4               29                2         -110.102          84.8781         -52.9939          88.2183          126.458         -57.0904
              4.5               29                2         -132.701          60.6009         -80.0078          82.1672          145.449          -28.512
                5               29                2         -150.795           30.566         -103.138          73.0443          154.647          1.60252
              5.5               29                2         -163.562         -3.58753         -121.624          61.3051          154.222          31.4291
                6               29                2         -170.206         -40.5056         -134.877          47.2174          144.373          59.4815
              6.5               29                2         -169.848         -78.7273         -142.378          30.9945          125.501          84.2414
                7               29                2          -162.23         -116.572         -144.267          13.0136           99.107          104.502
              7.5               29                2         -147.737         -152.634         -141.233         -6.27654          67.2639          119.674
                8               29                2         -126.714         -185.716         -133.936         -26.4813          31.8594          129.294
              8.5               29                2         -99.3903         -214.461         -123.045         -47.1564         -5.06203          132.765
                9               29                2         -66.9723          -238.23         -109.777          -67.729         -41.2419          130.455
              9.5               29                2         -30.5631         -256.661         -95.1482         -87.6681         -74.9193          122.795
               10               29                2          8.77559         -269.536         -80.0467         -106.434         -104.615          110.234
             10.5               29                2          49.9619         -276.417         -65.3668         -123.278         -128.633          93.0379
               11               29                2          91.6343         -278.102         -51.7488         -137.814         -146.668          72.3179
             11.5               29                2          132.771         -275.051         -39.6208         -149.621          -158.43          48.7678
               12               29                2          172.389         -267.769         -29.2935         -158.297         -163.825          23.0564
             12.5               29                2          209.499         -256.905         -20.9506         -163.493         -163.051         -4.09184
               13               29                2          243.599         -243.498         -14.4133         -165.406         -157.202         -31.8838
             13.5               29                2           274.24         -228.323         -9.53782         -164.179         -147.104         -59.7099
               14               29                2          300.938         -212.148         -6.18757          -159.99         -133.573          -86.952
             14.5               29                2          323.544         -195.841         -4.11864          -153.36         -117.715         -113.027
               15               29                2          342.224         -180.133         -3.09163         -144.974         -100.569         -137.529
             15.5               29                2           357.07         -165.659         -2.98204         -135.441         -82.9438         -160.093
               16               29                2          368.076         -153.092         -3.76804         -125.418         -65.6046         -180.311
             16.5               29                2          375.499         -142.966         -5.45709         -115.542          -49.163         -197.995
               17               29                2          379.583         -135.697         -8.12484         -106.329         -34.0763         -213.067
             17.5               29                2          380.513         -131.603         -11.8914         -98.1492         -20.7007         -225.537
               18               29                2          378.427         -130.901         -16.8746         -91.1706         -9.29611         -235.512
             18.5               29                2          373.425         -133.644         -23.1446         -85.3561       -0.0553322         -243.215
               19               29                2          365.507         -139.788         -30.7103          -80.484          6.82339         -248.913
             19.5               29                2          354.636         -149.115         -39.4592         -76.1471          11.1512         -252.932
               20               29                2          340.754         -161.224         -49.1382         -71.8172          12.7478          -255.61
             20.5               29                2          323.713         -175.608         -59.3738         -66.8939          11.3505         -257.221
               21               29                2          303.391         -191.558          -69.619         -60.7463          6.69952         -257.982
             21.5               29                2          279.886         -208.207         -79.2252         -52.8979         -1.27202         -258.027
               22               29                2          253.222         -224.697         -87.5306         -42.9976         -12.6988         -257.311
             22.5               29                2          223.414         -240.029         -93.7564         -30.7857         -27.7509         -255.604
               23               29                2          190.695          -253.08         -97.1168         -16.2946         -46.3767         -252.486
             23.5               29                2           155.62         -262.994         -97.1849        0.0258973         -68.0988         -247.515
               24               29                2          118.716          -268.94          -93.573          17.6302         -92.4398         -240.113
             24.5               29                2           80.626         -269.925         -85.8746          35.7517         -118.768         -229.462
               25               29                2          42.2799         -265.426         -74.2092          53.3317         -146.001         -214.912
             25.5               29                2           4.6208         -255.341         -59.0472          69.3473         -172.945         -196.075
               26               29                2         -31.3963          -239.63         -40.9426          82.7944         -198.343         -172.608
             26.5               29                2         -64.5336         -218.167         -20.5942          92.4299         -220.536         -144.062
               27               29                2         -93.8497         -191.785         0.796104          97.5705         -238.127         -110.885
             27.5               29                2         -118.547         -161.373          22.0847          97.7923         -249.907         -73.7155
               28               29                2         -137.897         -127.907          42.1293           92.868         -254.766         -33.4047
             28.5               29                2         -150.798         -92.5113          59.4952          82.4906         -251.115          8.90217
               29               29                2         -157.383          -56.749          73.2736          67.5772         -239.051           51.416
             29.5               29                2         -157.626         -21.9489          82.6792          48.9369         -218.562          92.4473
               30               29                2          -151.65          10.5517          87.0839          27.5863         -189.925          130.155
             30.5               29                2         -139.611          39.1832          85.8635          4.83407         -153.629          162.208
               31               29                2         -122.732          63.1216          79.5195         -17.7392         -111.656          187.233
             31.5               29                2         -101.946           81.594          68.4718         -38.7715          -65.709          203.868
               32               29                2         -78.2986          93.9038           53.338          -56.867         -17.7897          210.806
             32.5               29                2         -53.1141          99.6269          35.1383          -70.659          29.5775          207.122
               33               29                2         -27.8058          99.2876          15.3045         -79.5452          74.0052          193.467
             33.5               29                2         -3.57688          93.3239         -4.88821         -83.0635          113.319          170.434
               34               29                2          18.3105          82.2588         -24.0385         -80.8599          145.138          138.843
             34.5               29                2          36.7718          67.1886         -40.7424         -73.2699          167.619          100.611
               35               29                2           51.212          49.4573         -54.0205         -61.2141           180.01          58.2034
             35.5               29                2          61.1743           30.271         -63.0794          -45.639          181.763           13.965
               36               29                2          66.1777          10.9341         -67.0985         -27.6614          172.286         -29.3973
             36.5               29                2          66.5003         -7.21881         -66.0703          -8.8524          152.724         -69.1135
               37               29                2          62.6657         -23.1609         -60.3566          9.38642          124.697         -102.978
             37.5               29                2          55.2733         -36.0473         -50.4821          25.7926          89.9858         -129.097
             -2.5             29.5                2          38.3572         -58.1279          14.0633         -57.9501         -61.6245           77.201
               -2             29.5                2          51.3981         -48.4642          40.9875          -50.366         -91.8455          55.5742
             -1.5             29.5                2          62.2923         -33.8298          65.8725         -39.5884         -115.682          29.6506
               -1             29.5                2          69.9265         -14.7846          86.7905         -26.1127         -130.914          1.12486
             -0.5             29.5                2          73.3864          7.43892          102.135         -10.7473         -136.242          -27.823
                0             29.5                2          72.2385          31.3177          111.102          5.64312         -131.674         -55.2136
              0.5             29.5                2          66.1309          55.3826          113.119          22.3136         -117.491         -79.3197
                1             29.5                2          54.6303          77.8788          107.571          38.4668         -94.1323         -98.2125
              1.5             29.5                2          38.2278          97.1893          95.1959          53.4051         -63.7863         -110.865
                2             29.5                2          17.5638          112.028          76.9417          66.6049         -28.6973         -116.727
              2.5             29.5                2         -6.59933          121.288          53.8975          77.6221          8.82185         -115.538
                3             29.5                2         -33.3748           123.51          27.2557          85.8496          46.0412         -106.893
              3.5             29.5                2         -61.2524          118.809          -1.0452          91.2538          80.3684         -92.0823
                4             29.5                2         -88.9679          107.141          -29.512          93.6826          109.697         -72.0485
              4.5             29.5                2         -115.163          88.6456         -56.6656          92.9781          132.071         -47.8997
                5             29.5                2         -138.292          63.7797         -80.9904          88.9885           145.72         -21.0467
              5.5             29.5                2         -157.336          33.9386         -101.628          81.9744           150.49           6.8311
                6             29.5                2         -171.342         0.243277         -117.915          72.0441          146.299          34.3667
              6.5             29.5                2         -179.263         -36.1107         -129.257          59.2494          133.224          60.1463
                7             29.5                2         -180.553         -73.6045          -135.63          43.8777          112.395          82.8945
              7.5             29.5                2         -175.295         -110.855         -137.525           26.377          85.5712          101.814
