           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
                4               34                2       -0.0399295        -0.121399        -0.266377        -0.215669        -0.452831       -0.0265145
              4.5               34                2       -0.0121616        -0.138724         -0.22624        -0.251856        -0.460599       -0.0910825
                5               34                2        0.0189563         -0.14924        -0.175488        -0.278312        -0.448948        -0.155926
              5.5               34                2        0.0519244        -0.152535        -0.117248        -0.295482        -0.419705        -0.219627
                6               34                2         0.085482        -0.148163       -0.0540223        -0.303623        -0.374189        -0.280968
              6.5               34                2         0.118258        -0.135654        0.0115617        -0.302955        -0.313801        -0.338565
                7               34                2         0.148842        -0.115315        0.0765385        -0.294471        -0.241497        -0.391157
              7.5               34                2         0.176171       -0.0880911         0.138462        -0.279547        -0.160817        -0.437879
                8               34                2         0.199294       -0.0548126         0.195266        -0.259229        -0.074811        -0.477769
              8.5               34                2         0.217024       -0.0162616         0.244636        -0.234347        0.0133602        -0.509346
                9               34                2          0.22897        0.0259798         0.285515         -0.20621         0.100345        -0.532131
              9.5               34                2         0.234911        0.0705519         0.317341        -0.175783         0.183596        -0.545723
               10               34                2         0.234702         0.116205         0.339834        -0.143839         0.261017        -0.549732
             10.5               34                2         0.227884         0.161602         0.352419        -0.111061         0.330232        -0.543174
               11               34                2         0.215295         0.205589         0.356635        -0.078168         0.390892        -0.527146
             11.5               34                2         0.197363         0.247274         0.353486       -0.0456939         0.442664         -0.50219
               12               34                2         0.174543         0.285849         0.344117       -0.0141835         0.485506        -0.469002
             12.5               34                2         0.147423         0.320588         0.329978        0.0157221         0.519807        -0.428678
               13               34                2         0.117079         0.351423         0.313004        0.0435634         0.547191        -0.383313
             13.5               34                2        0.0843083         0.378269         0.294689        0.0688047         0.568885        -0.334674
               14               34                2        0.0499078         0.401032         0.276506        0.0907207         0.586081        -0.284733
             14.5               34                2        0.0148459         0.420011         0.259853         0.108695         0.600292        -0.235823
               15               34                2       -0.0199973         0.435757         0.245657         0.122367         0.612836         -0.18996
             15.5               34                2       -0.0538434         0.448726         0.234588         0.131308         0.624617        -0.148958
               16               34                2       -0.0858128         0.459373         0.227662         0.134866         0.635295        -0.117286
             16.5               34                2         -0.11518         0.468295         0.224014         0.134253         0.645091       -0.0941859
               17               34                2          -0.1413         0.476065         0.223223         0.126597         0.659046       -0.0727018
             17.5               34                2        -0.163573           0.4832         0.225879         0.113879         0.671063       -0.0642001
               18               34                2        -0.181491         0.490123         0.230652        0.0968015         0.681542       -0.0653845
             18.5               34                2        -0.194656         0.497171         0.236795        0.0752972         0.690266        -0.075159
               19               34                2        -0.202688         0.504573         0.243441        0.0497385         0.696272       -0.0929441
             19.5               34                2        -0.205319         0.512431          0.24958        0.0208256         0.698452        -0.117689
               20               34                2        -0.202406         0.520711          0.25416       -0.0101872          0.69585         -0.14756
             20.5               34                2         -0.19376         0.529254         0.256215       -0.0367563         0.689709        -0.174899
               21               34                2        -0.179314         0.537745         0.255727       -0.0685901          0.67682        -0.209138
             21.5               34                2        -0.159389         0.545744         0.251574        -0.101328         0.657224        -0.245262
               22               34                2        -0.134141         0.552734         0.243233        -0.133218         0.631101        -0.280867
             22.5               34                2        -0.103646          0.55802         0.230176        -0.163559         0.598268        -0.314744
               23               34                2        -0.068233         0.560763         0.212088        -0.191693         0.558903         -0.34585
             23.5               34                2       -0.0286574         0.560299         0.189169         -0.21724         0.513784        -0.373668
               24               34                2        0.0144858         0.555859         0.161499        -0.239787         0.463448        -0.397788
             24.5               34                2        0.0605771         0.546393         0.129062        -0.258751         0.408317        -0.417748
               25               34                2         0.108582         0.531164        0.0923218        -0.273748         0.349236        -0.433472
             25.5               34                2         0.157393         0.509753         0.051931        -0.284505          0.28708        -0.445041
               26               34                2         0.205899         0.481699       0.00849744          -0.2906          0.22257        -0.452379
             26.5               34                2         0.252673         0.446225       -0.0373196         -0.29119         0.156403        -0.455041
               27               34                2         0.296324         0.403616       -0.0843851        -0.285984        0.0895348        -0.452963
             27.5               34                2         0.335549         0.354252        -0.131583        -0.274638        0.0228435        -0.445884
               28               34                2         0.369021         0.298629        -0.177709        -0.256754       -0.0427507        -0.433371
             28.5               34                2         0.394747         0.237174        -0.221074        -0.231453        -0.105926        -0.414384
               29               34                2          0.41204         0.171553        -0.260271        -0.199196        -0.165573        -0.388882
             29.5               34                2         0.419998         0.103185        -0.293808        -0.160198        -0.220429        -0.356528
               30               34                2         0.417797        0.0336913        -0.320085        -0.114864        -0.269041        -0.317053
             30.5               34                2         0.404328       -0.0348399        -0.336951       -0.0637936        -0.309323         -0.27012
               31               34                2         0.380398        -0.100373        -0.343739      -0.00875232        -0.340355         -0.21679
             31.5               34                2         0.346404        -0.160949        -0.339499        0.0486404        -0.360859        -0.157961
               32               34                2         0.302893        -0.214415        -0.323278         0.106397        -0.369394       -0.0948696
             32.5               34                2         0.250981        -0.258496        -0.294534         0.161918        -0.364688        -0.029443
               33               34                2         0.192859        -0.292154        -0.254422         0.212781        -0.347159        0.0359007
             33.5               34                2         0.130438        -0.314262        -0.203908         0.256579        -0.316986        0.0987699
               34               34                2        0.0658884        -0.323512        -0.144197          0.29048        -0.274402         0.156283
             34.5               34                2       0.00190152        -0.319642       -0.0777211         0.312162        -0.220973         0.205532
               35               34                2       -0.0590668        -0.303538      -0.00748878         0.320532        -0.159211         0.244463
             35.5               34                2         -0.11473        -0.276013        0.0635575         0.314617       -0.0915715         0.271157
               36               34                2         -0.16238        -0.237856         0.131869         0.293228       -0.0209637         0.283288
             36.5               34                2        -0.200235        -0.191418          0.19385         0.257441        0.0489015         0.280527
               37               34                2        -0.227177        -0.139148          0.24651         0.209052         0.114674          0.26341
             37.5               34                2         -0.24233       -0.0834452         0.287111         0.150139         0.173181         0.232828
             -2.5             34.5                2        0.0374587        0.0541605          0.21004          0.19235          0.30716         0.094601
               -2             34.5                2         0.022578        0.0701506         0.171833         0.225134         0.306531         0.144777
             -1.5             34.5                2       0.00469902        0.0820416         0.122336         0.245739         0.288145         0.190018
               -1             34.5                2       -0.0151967        0.0885119        0.0639096         0.252628         0.251695         0.228133
             -0.5             34.5                2       -0.0357376        0.0887418      0.000137353         0.245708         0.198842         0.257486
                0             34.5                2        -0.055578        0.0826579       -0.0652663         0.226275         0.132692         0.277406
              0.5             34.5                2       -0.0734693        0.0703075        -0.128962         0.195599        0.0561828         0.287267
                1             34.5                2       -0.0879252        0.0517595        -0.187151         0.154957       -0.0274015         0.286077
              1.5             34.5                2       -0.0979425        0.0282103        -0.236851         0.107223        -0.113434         0.274411
                2             34.5                2        -0.102806      0.000931425        -0.275865        0.0549495        -0.197872         0.252876
              2.5             34.5                2        -0.101956       -0.0287195        -0.302421      0.000502165        -0.276924         0.222051
                3             34.5                2       -0.0945572       -0.0591137        -0.314092       -0.0535827        -0.345908         0.182031
              3.5             34.5                2        -0.081196       -0.0884276        -0.311732        -0.105105        -0.402397         0.134592
                4             34.5                2       -0.0622019        -0.115107        -0.295699        -0.152383        -0.444116        0.0807539
              4.5             34.5                2       -0.0380414        -0.137576        -0.266665        -0.193919        -0.469058         0.021527
                5             34.5                2      -0.00944519        -0.154178        -0.225877        -0.228365        -0.475608       -0.0419146
              5.5             34.5                2        0.0222446        -0.164242         -0.17621        -0.255605        -0.465034        -0.107948
                6             34.5                2        0.0559286        -0.167104        -0.119935        -0.275458        -0.438187        -0.175251
              6.5             34.5                2        0.0904192        -0.162042       -0.0594293         -0.28769        -0.395963        -0.242361
                7             34.5                2         0.124354        -0.149064       0.00243018        -0.292709        -0.340805        -0.307612
              7.5             34.5                2         0.156582        -0.128843        0.0631169        -0.291354        -0.275878        -0.369554
                8             34.5                2         0.186074        -0.101964         0.120502        -0.284225        -0.203883        -0.426745
              8.5             34.5                2           0.2116       -0.0689043         0.172263        -0.271675        -0.127522        -0.477254
                9             34.5                2         0.232507       -0.0310704         0.217067        -0.254697       -0.0499988        -0.519944
              9.5             34.5                2         0.248339        0.0103074         0.254107        -0.234051        0.0262279        -0.553887
               10             34.5                2         0.258722        0.0540871         0.282869        -0.210365        0.0991231        -0.578236
             10.5             34.5                2         0.262973        0.0991144         0.302569        -0.184116           0.1665        -0.591523
               11             34.5                2         0.261631         0.144117         0.314385         -0.15619         0.227663        -0.594521
             11.5             34.5                2         0.254902         0.188157         0.319067        -0.127211         0.282091        -0.587514
               12             34.5                2         0.243028         0.230371         0.317499       -0.0978301         0.329529        -0.570968
             12.5             34.5                2         0.226382         0.269936         0.310851       -0.0688403         0.370079        -0.545779
               13             34.5                2         0.205925         0.306543         0.300847       -0.0409887         0.404879        -0.514074
             13.5             34.5                2         0.182354         0.339922         0.288794       -0.0150145         0.434779        -0.477605
               14             34.5                2         0.156362         0.369799         0.275951       0.00817354          0.46058        -0.438305
             14.5             34.5                2         0.128889         0.396228         0.263568        0.0277477         0.483351        -0.398573
               15             34.5                2         0.100854         0.419524         0.252519        0.0431736         0.504037        -0.360558
             15.5             34.5                2        0.0730681         0.439934          0.24341        0.0538976         0.523223         -0.32615
               16             34.5                2        0.0464346         0.457679         0.237166         0.059033         0.539761        -0.299442
             16.5             34.5                2        0.0217597         0.473151         0.233249        0.0597612         0.553972        -0.280021
               17             34.5                2     -0.000229657         0.486736          0.23057        0.0538119         0.572361        -0.262351
             17.5             34.5                2       -0.0188541         0.498777         0.230274        0.0424507         0.586574        -0.256016
               18             34.5                2       -0.0335375         0.509548         0.231188        0.0265799         0.597591        -0.258199
             18.5             34.5                2       -0.0438255         0.519265         0.232547        0.0062776         0.605376        -0.267919
               19             34.5                2       -0.0493084         0.528045         0.233554       -0.0179821         0.609017        -0.284527
             19.5             34.5                2       -0.0497076          0.53591         0.233342       -0.0453758         0.607524         -0.30689
               20             34.5                2       -0.0448974         0.542785         0.231105         -0.07454         0.600189        -0.333144
             20.5             34.5                2       -0.0347414         0.548467         0.227306       -0.0992551         0.589518        -0.356556
               21             34.5                2       -0.0192594         0.552635         0.219776        -0.128354          0.57071        -0.384898
             21.5             34.5                2       0.00114213         0.554955         0.208353        -0.157565         0.544621        -0.413539
               22             34.5                2        0.0261894         0.554981         0.192924        -0.185106         0.511866        -0.440204
             22.5             34.5                2        0.0556346         0.552085         0.173157        -0.210143         0.472519        -0.463602
               23             34.5                2        0.0889663         0.545573         0.148958        -0.231922         0.427046         -0.48266
             23.5             34.5                2         0.125328         0.535024          0.12069        -0.250077          0.37645        -0.496974
               24             34.5                2         0.163987         0.519883        0.0886126        -0.264203         0.321492        -0.506201
             24.5             34.5                2         0.204125         0.499338        0.0529599        -0.273721         0.262871         -0.50993
               25             34.5                2         0.244624         0.472975        0.0143712        -0.278381         0.201641        -0.508286
             25.5             34.5                2         0.284378         0.440684       -0.0263896        -0.278114          0.13881        -0.501608
               26             34.5                2          0.32227         0.402314        -0.068584        -0.272709        0.0752509        -0.490077
             26.5             34.5                2          0.35682          0.35749        -0.111328        -0.261601        0.0119166        -0.473551
               27             34.5                2         0.386831         0.306804        -0.153504        -0.244868       -0.0502169        -0.452374
             27.5             34.5                2         0.411202         0.250906         -0.19403         -0.22252        -0.110262        -0.426673
               28             34.5                2         0.428834         0.190553        -0.231755        -0.194537        -0.167297        -0.396418
             28.5             34.5                2         0.437991         0.126582        -0.264987         -0.16057        -0.219898        -0.361137
               29             34.5                2         0.438411        0.0606721        -0.292667        -0.121385        -0.267236        -0.321134
             29.5             34.5                2         0.429574      -0.00567824         -0.31358       -0.0775244         -0.30824        -0.276448
               30             34.5                2         0.411061       -0.0707984        -0.326457        -0.029708        -0.341689        -0.227188
             30.5             34.5                2         0.382283        -0.132524        -0.329571        0.0210661        -0.365786        -0.173517
               31             34.5                2         0.344411        -0.189155         -0.32277         0.073111        -0.380087        -0.116495
             31.5             34.5                2         0.298212        -0.238963        -0.305582         0.124807        -0.383734       -0.0571259
               32             34.5                2         0.244629        -0.280058        -0.277587         0.174204        -0.375759       0.00325918
             32.5             34.5                2         0.185156        -0.310548         -0.23883         0.218892        -0.355449        0.0627585
               33             34.5                2         0.122036        -0.329915        -0.190823         0.256966         -0.32366         0.119384
             33.5             34.5                2        0.0572757        -0.337485        -0.134884         0.286473        -0.280999         0.171078
               34             34.5                2      -0.00683386        -0.332453       -0.0726217         0.305105        -0.228193         0.215325
             34.5             34.5                2       -0.0677188        -0.315095      -0.00663609          0.31124         -0.16715         0.249817
               35             34.5                2        -0.123248        -0.286719        0.0601794         0.304463        -0.100485         0.273176
             35.5             34.5                2        -0.171422        -0.248523         0.125003         0.284437       -0.0307463         0.284093
               36             34.5                2        -0.209822        -0.201758         0.184406         0.250716        0.0390159         0.280938
             36.5             34.5                2        -0.237209        -0.148982         0.235322         0.204927         0.105353         0.264045
               37             34.5                2        -0.252982       -0.0927197         0.275345         0.149232         0.165273         0.234471
             37.5             34.5                2        -0.256751        -0.035412         0.302326        0.0860144         0.215973         0.193564
             -2.5               35                2         0.043963        0.0489854         0.233436          0.15031         0.319814        0.0328416
               -2               35                2        0.0316518         0.066817         0.203147         0.187863         0.330521        0.0819931
             -1.5               35                2        0.0158251        0.0810971         0.160298         0.215797         0.323322         0.129786
               -1               35                2      -0.00276535        0.0904051         0.106782         0.232314         0.297378         0.174211
             -0.5               35                2       -0.0229227        0.0937431         0.045855         0.236765         0.253816         0.213427
                0               35                2       -0.0433664        0.0908329       -0.0188685         0.229771         0.195345         0.246233
              0.5               35                2       -0.0628947        0.0815192       -0.0841253         0.211972         0.124529         0.271507
                1               35                2       -0.0800758        0.0656175        -0.146236         0.183928        0.0441551         0.287713
              1.5               35                2       -0.0937689        0.0441057         -0.20196         0.147815       -0.0413044         0.294533
                2               35                2        -0.103093        0.0180751        -0.248819         0.105629        -0.127894         0.291783
              2.5               35                2        -0.107301       -0.0112795        -0.284743        0.0592554        -0.211881         0.279282
                3               35                2        -0.105326       -0.0425628        -0.307011          0.01061        -0.288792         0.256212
              3.5               35                2       -0.0974308       -0.0739341         -0.31594       -0.0381391        -0.355808         0.223744
                4               35                2       -0.0836646        -0.103859        -0.311482       -0.0853981        -0.410441         0.182356
              4.5               35                2        -0.064193        -0.130756        -0.293895        -0.129692        -0.450438         0.132543
                5               35                2        -0.039407        -0.152917        -0.263976        -0.169594        -0.473861        0.0749989
              5.5               35                2       -0.0104494        -0.169449        -0.224276        -0.204516        -0.481423        0.0114118
                6               35                2        0.0217762        -0.179508        -0.176785        -0.233917        -0.473533        -0.056909
              6.5               35                2        0.0563066        -0.182173        -0.123579        -0.257189        -0.450614         -0.12854
                7               35                2        0.0918825        -0.177173       -0.0673556        -0.274217        -0.414566        -0.201547
              7.5               35                2         0.127316        -0.164911       -0.0106197        -0.285323        -0.368087        -0.274004
                8               35                2         0.161555        -0.145722        0.0445255         -0.29068        -0.313453        -0.344088
              8.5               35                2         0.193388        -0.119794        0.0958351         -0.29019        -0.252854        -0.409537
                9               35                2         0.221944       -0.0883162         0.141792        -0.284496        -0.189205        -0.468616
              9.5               35                2         0.246569       -0.0523522         0.181412        -0.274112         -0.12476        -0.519911
               10               35                2         0.266696       -0.0128993         0.214005        -0.259478       -0.0613837        -0.562154
             10.5               35                2         0.281468        0.0291047         0.238645        -0.240832     -0.000969434        -0.593454
               11               35                2         0.291114        0.0723365         0.256164        -0.219141        0.0555631        -0.614201
             11.5               35                2         0.295622         0.115863         0.267067        -0.195054         0.107592        -0.624397
               12               35                2         0.295023          0.15881         0.271993         -0.16927         0.154735        -0.624251
             12.5               35                2         0.289468         0.200315         0.271835        -0.142664         0.196896        -0.614418
               13               35                2         0.279755         0.239866         0.268069         -0.11621          0.23477        -0.596954
             13.5               35                2         0.266449         0.277048         0.261789       -0.0908007         0.268871        -0.573529
               14               35                2         0.250105         0.311442         0.254027       -0.0674751         0.299659        -0.545962
             14.5               35                2          0.23158         0.342882         0.245847       -0.0472302         0.327782        -0.516631
               15               35                2         0.211779         0.371457         0.238032       -0.0307558         0.353807        -0.487735
             15.5               35                2         0.191491         0.397218         0.231099       -0.0187093         0.378002        -0.461164
               16               35                2          0.17159         0.420161         0.225832       -0.0121856         0.398577        -0.440474
             16.5               35                2         0.152904         0.440474         0.221977       -0.0100933         0.415849        -0.425586
               17               35                2         0.136195         0.458355         0.217973       -0.0139794         0.437273        -0.412678
             17.5               35                2         0.122171         0.473967         0.215298       -0.0233845         0.452907        -0.409079
               18               35                2         0.111435         0.487431         0.212972       -0.0372422         0.464124        -0.412542
             18.5               35                2         0.104463         0.498844         0.210242       -0.0553291         0.471026        -0.422227
               19               35                2         0.101665          0.50821         0.206408        -0.077083         0.472765        -0.437414
             19.5               35                2         0.103309         0.515481         0.200756        -0.101592         0.468486        -0.456899
               20               35                2         0.109495         0.520546         0.192742        -0.127446          0.45772        -0.478832
             20.5               35                2         0.120298         0.523177         0.184054        -0.149056         0.443899        -0.497611
               21               35                2         0.135619          0.52307         0.170775        -0.173936         0.421193        -0.519116
             21.5               35                2            0.155         0.520008         0.153604        -0.198124         0.391117        -0.539244
               22               35                2         0.178074         0.513639         0.132806        -0.219908         0.354654        -0.555943
             22.5               35                2         0.204454         0.503437         0.108265        -0.238384         0.312144        -0.567912
               23               35                2         0.233495         0.488884        0.0801054        -0.252764         0.264323        -0.574132
             23.5               35                2         0.264307         0.469808        0.0488305        -0.262748         0.212369        -0.574376
               24               35                2         0.296082         0.445877        0.0148612        -0.267982         0.157224        -0.568435
             24.5               35                2         0.327873          0.41655       -0.0213519        -0.267957        0.0998284         -0.55603
               25               35                2         0.358563         0.381721        -0.059046        -0.262593        0.0413617         -0.53754
             25.5               35                2          0.38712         0.341568       -0.0974106        -0.252033         -0.01712        -0.513591
               26               35                2         0.412491         0.296225        -0.135642        -0.236294       -0.0746759        -0.484648
             26.5               35                2         0.433242         0.245702        -0.172719        -0.215115        -0.130206        -0.450925
               27               35                2         0.448423         0.190829        -0.207626          -0.1889        -0.182824        -0.413147
             27.5               35                2         0.457185         0.132462        -0.239391        -0.157974        -0.231734        -0.371799
               28               35                2         0.458698         0.071548        -0.266992        -0.122642         -0.27611         -0.32722
             28.5               35                2         0.451556       0.00925292        -0.288851       -0.0830385        -0.314578        -0.279482
               29               35                2         0.435901       -0.0528269        -0.304283       -0.0401227        -0.346642        -0.229129
             29.5               35                2         0.411581          -0.1132        -0.312394       0.00532699        -0.371491        -0.176497
               30               35                2         0.378574        -0.170237        -0.312276        0.0523752        -0.388202        -0.121977
             30.5               35                2         0.336796        -0.221813        -0.302671        0.0997491        -0.395351       -0.0661248
               31               35                2         0.287684        -0.266617        -0.283875         0.145942        -0.392928       -0.0098814
             31.5               35                2         0.232309        -0.303215        -0.255851         0.189431         -0.38048        0.0457491
               32               35                2         0.171932        -0.330052        -0.218657         0.228407        -0.357492        0.0994541
             32.5               35                2         0.108328        -0.345673        -0.172847         0.260749        -0.323763         0.149479
               33               35                2        0.0436775        -0.350066        -0.120149         0.285095        -0.280457          0.19433
             33.5               35                2       -0.0200153        -0.343004       -0.0621247         0.299978        -0.228506         0.232351
               34               35                2       -0.0804453         -0.32419     -0.000654045         0.303651        -0.169019         0.261468
             34.5               35                2        -0.135261        -0.294386        0.0616356         0.295168        -0.104105         0.280008
               35               35                2        -0.182727        -0.255237         0.122088         0.274721       -0.0363268         0.287242
             35.5               35                2        -0.221198        -0.208255         0.178109          0.24254        0.0318054         0.282455
               36               35                2        -0.248625        -0.155079          0.22652         0.198853         0.097245           0.2647
             36.5               35                2        -0.264332       -0.0983542          0.26485         0.145701         0.156931         0.234885
               37               35                2        -0.268231       -0.0405796         0.291305        0.0854887         0.208312         0.194487
             37.5               35                2        -0.260411        0.0158614         0.304347        0.0207754         0.249039         0.145218
             -2.5             35.5                2          0.05039        0.0425666         0.249392         0.105307         0.319106       -0.0310614
               -2             35.5                2        0.0409767         0.061941         0.227532         0.146095         0.340775        0.0144256
             -1.5             35.5                2        0.0276047        0.0783956           0.1923         0.179917         0.345086        0.0620572
               -1             35.5                2        0.0107818        0.0904456         0.145113         0.204811         0.330735          0.11012
             -0.5             35.5                2      -0.00849563        0.0969425        0.0888316          0.21966         0.298303         0.156696
                0             35.5                2       -0.0290434        0.0974153        0.0268791         0.224461         0.250031         0.200165
              0.5             35.5                2       -0.0497382        0.0915159       -0.0376498         0.219281         0.188034         0.239013
                1             35.5                2        -0.069245        0.0788197          -0.1013         0.204026         0.114531           0.2713
              1.5             35.5                2       -0.0863229        0.0600682        -0.160699         0.180174        0.0336806         0.295887
                2             35.5                2       -0.0999593        0.0361496        -0.213197         0.149148       -0.0508007         0.311845
              2.5             35.5                2        -0.109248       0.00806813        -0.256525          0.11233        -0.135388          0.31828
                3             35.5                2        -0.112942       -0.0230484        -0.287796        0.0710003        -0.215989         0.313547
              3.5             35.5                2        -0.110982       -0.0553967        -0.306838        0.0271968        -0.289547         0.298142
                4             35.5                2        -0.103149       -0.0875112        -0.313247       -0.0176455        -0.353494         0.271969
              4.5             35.5                2       -0.0893167         -0.11786        -0.306912       -0.0621543        -0.405471         0.234975
                5             35.5                2       -0.0695375        -0.144748        -0.288209        -0.104918        -0.443349         0.187316
              5.5             35.5                2       -0.0447208        -0.167107        -0.259315        -0.144972         -0.46733         0.130614
                6             35.5                2       -0.0155476        -0.183958        -0.221906        -0.181494        -0.477425        0.0660647
              6.5             35.5                2        0.0172711        -0.194233         -0.17772         -0.21359        -0.473648      -0.00505209
                7             35.5                2        0.0526282        -0.197421        -0.129201        -0.240691        -0.457348       -0.0806636
              7.5             35.5                2        0.0893535        -0.193658       -0.0787411        -0.262643        -0.430692        -0.158495
                8             35.5                2         0.126419        -0.183046       -0.0283395        -0.279219        -0.395485        -0.236446
              8.5             35.5                2         0.162686        -0.165502        0.0199155        -0.289919        -0.353376        -0.312052
                9             35.5                2         0.197126         -0.14197        0.0644131        -0.295015        -0.306874        -0.383062
              9.5             35.5                2         0.228923        -0.113318         0.104061        -0.294753        -0.257923        -0.447647
               10             35.5                2         0.257358        -0.080368         0.138054         -0.28936        -0.208125        -0.504171
             10.5             35.5                2         0.281455       -0.0438223         0.165397        -0.278817        -0.158992        -0.550407
               11             35.5                2         0.301138       -0.0049862           0.1866        -0.264094        -0.111545        -0.586337
             11.5             35.5                2         0.316191        0.0352576         0.201952        -0.245815       -0.0664153        -0.611681
               12             35.5                2         0.326443        0.0760732         0.211867        -0.224671       -0.0240244        -0.626387
             12.5             35.5                2         0.331828         0.116606         0.216977        -0.201558        0.0154197        -0.630849
               13             35.5                2         0.332948         0.156195          0.21849        -0.177616        0.0522325        -0.626976
             13.5             35.5                2         0.330213         0.194322         0.217276        -0.153838        0.0866462        -0.616302
               14             35.5                2         0.324014         0.230462         0.214131        -0.131343         0.118841        -0.600482
             14.5             35.5                2         0.315085         0.264271         0.209917        -0.111253         0.149084        -0.581794
               15             35.5                2         0.304262         0.295632         0.205289       -0.0943842         0.177576        -0.562407
             15.5             35.5                2         0.292273         0.324418         0.200658       -0.0814766         0.204292        -0.544154
               16             35.5                2         0.279909         0.350432         0.196624       -0.0737949         0.226986        -0.529949
             16.5             35.5                2         0.267973         0.373668         0.193166        -0.070392         0.245876        -0.519998
               17             35.5                2         0.257211         0.394141         0.188466       -0.0720104          0.26883        -0.512336
             17.5             35.5                2         0.248319         0.411846         0.184107       -0.0790427         0.285035         -0.51178
               18             35.5                2         0.241885          0.42676         0.179319       -0.0902933         0.296075        -0.516693
             18.5             35.5                2         0.238375         0.438861         0.173398        -0.105404         0.302138         -0.52638
               19             35.5                2         0.238175         0.448058         0.165756        -0.123742         0.302456        -0.540058
             19.5             35.5                2         0.241524         0.454234         0.155842        -0.144344         0.296316        -0.556467
               20             35.5                2         0.248489          0.45726         0.143365        -0.165809         0.283477        -0.573801
             20.5             35.5                2         0.259085         0.456896         0.130979        -0.183414         0.267939         -0.58769
               21             35.5                2         0.273144         0.452876         0.113502        -0.203045         0.243417        -0.602063
             21.5             35.5                2         0.290186         0.445101        0.0923428        -0.221224         0.211904        -0.613432
               22             35.5                2         0.309785         0.433329        0.0680981        -0.236398         0.174672        -0.620036
             22.5             35.5                2         0.331449         0.417162        0.0408641        -0.247647         0.132315        -0.620629
               23             35.5                2         0.354453         0.396274         0.010973        -0.254214        0.0858059        -0.614319
             23.5             35.5                2         0.377937         0.370725       -0.0209631        -0.255895        0.0364351        -0.601099
               24             35.5                2         0.401077         0.340411       -0.0543956         -0.25243       -0.0147246        -0.580944
             24.5             35.5                2         0.422872         0.305064       -0.0886962        -0.243427       -0.0665559         -0.55377
               25             35.5                2         0.442277         0.264866        -0.123038        -0.228998        -0.117833        -0.520244
             25.5             35.5                2         0.458398         0.220237        -0.156621        -0.209494        -0.167541        -0.481279
               26             35.5                2         0.470309         0.171559        -0.188642        -0.185155         -0.21476        -0.437629
             26.5             35.5                2         0.476703         0.119188         -0.21803        -0.156031        -0.258352        -0.389886
               27             35.5                2         0.476918        0.0641156        -0.243937        -0.122796         -0.29762        -0.339106
             27.5             35.5                2         0.470384       0.00733078        -0.265563       -0.0860363        -0.331946        -0.286083
               28             35.5                2         0.456565       -0.0501008        -0.282076       -0.0463185        -0.360687        -0.231467
             28.5             35.5                2         0.434437        -0.106783        -0.292106      -0.00418943        -0.382653        -0.175821
